type,name,login,event
IssuesEvent,itzg/dockerfiles,altano,"""closed"""
IssuesEvent,dmnfarrell/pandastable,rpgoldman,"""opened"""
IssuesEvent,jkomoros/complexity-compendium,jkomoros,"""closed"""
IssuesEvent,jkomoros/complexity-compendium,jkomoros,"""opened"""
IssuesEvent,johnynek/bazel-deps,redbaron,"""closed"""
IssuesEvent,moaazsidat/react-native-qrcode-scanner,richoid,"""opened"""
IssuesEvent,hetima/hyperstrip-hyperline-essentials,hetima,"""opened"""
IssuesEvent,hetima/hyperstrip-hyperline-essentials,hetima,"""closed"""
IssuesEvent,lpereira/lwan,HalosGhost,"""opened"""
IssuesEvent,frosas/francescrosas.com,frosas,"""closed"""
IssuesEvent,theunraveler/taskwarrior-web,meonkeys,"""opened"""
IssuesEvent,kmiyashiro/shiba-husky-husky,kmiyashiro,"""closed"""
IssuesEvent,kmiyashiro/shiba-husky-husky,kmiyashiro,"""opened"""
IssuesEvent,kmiyashiro/shiba-husky-husky,kmiyashiro,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""opened"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""reopened"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,orbeon/orbeon-forms,ebruchez,"""closed"""
IssuesEvent,herzbube/littlego,herzbube,"""opened"""
IssuesEvent,kennytm/cargo-kcov,asomers,"""opened"""
IssuesEvent,elmopl/ktba,elmopl,"""closed"""
IssuesEvent,elmopl/ktba,elmopl,"""closed"""
IssuesEvent,vivien/i3blocks,vivien,"""closed"""
IssuesEvent,adarob/eXpress,hartzell,"""opened"""
IssuesEvent,BlakeWilliams/tengujs,BlakeWilliams,"""closed"""
IssuesEvent,BlakeWilliams/tengujs,BlakeWilliams,"""closed"""
IssuesEvent,rajannpatel/Pi-Hole-PiVPN-on-Google-Compute-Engine-Free-Tier-with-Full-Tunnel-and-Split-Tunnel-OpenVPN-Configs,rajannpatel,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,braids/brugga,jdeeny,"""closed"""
IssuesEvent,gkbm2013/tinker-IO,KaneHart,"""opened"""
IssuesEvent,ssube/isolex,ssube,"""closed"""
IssuesEvent,ssube/isolex,ssube,"""opened"""
IssuesEvent,ssube/isolex,ssube,"""opened"""
IssuesEvent,cebarks/littleshop,cebarks,"""closed"""
IssuesEvent,colinbdclark/Flocking,colinbdclark,"""opened"""
IssuesEvent,niccokunzmann/12characters-translations,niccokunzmann,"""closed"""
IssuesEvent,niccokunzmann/12characters-translations,niccokunzmann,"""closed"""
IssuesEvent,niccokunzmann/12characters-translations,niccokunzmann,"""closed"""
IssuesEvent,GeorgeFilipkin/pulsemixer,aaschmid,"""opened"""
IssuesEvent,lolPants/modsaber-installer,Kelarik,"""opened"""
IssuesEvent,janiskelemen/formvuelar,Barrykilby,"""opened"""
IssuesEvent,RobJinman/pro_office_calc,RobJinman,"""closed"""
IssuesEvent,CHEF-KOCH/CKs-FilterList,CHEF-KOCH,"""closed"""
IssuesEvent,Tk-Glitch/PKGBUILDS,Tk-Glitch,"""closed"""
IssuesEvent,AliSoftware/OHHTTPStubs,Liquidsoul,"""closed"""
IssuesEvent,MrChromebox/firmware,MrChromebox,"""closed"""
IssuesEvent,alextunyk/htmlcompressor-maven-plugin,hazendaz,"""closed"""
IssuesEvent,alextunyk/htmlcompressor-maven-plugin,hazendaz,"""closed"""
IssuesEvent,alextunyk/htmlcompressor-maven-plugin,hazendaz,"""opened"""
IssuesEvent,lovac42/Cardistry,aleksejrs,"""opened"""
IssuesEvent,lovac42/Cardistry,aleksejrs,"""opened"""
IssuesEvent,Foundry376/Mailspring,bengotow,"""closed"""
IssuesEvent,Jean-Romain/rlas,jfprieur,"""opened"""
IssuesEvent,dixx/Die_Chroniken_eines_namenlosen_Spiels,dixx,"""closed"""
IssuesEvent,dbader/pytest-mypy,ikonst,"""opened"""
IssuesEvent,realthunder/FreeCAD_assembly3,realthunder,"""closed"""
IssuesEvent,ekimekim/wubloader,MasterGunner,"""opened"""
IssuesEvent,kristianmandrup/json-schema-to-yup,MrLoh,"""opened"""
IssuesEvent,fanly/reading,fanly,"""opened"""
IssuesEvent,gregkrsak/arduino_led_flash,gregkrsak,"""opened"""
IssuesEvent,urbanspr1nter/roboraider,urbanspr1nter,"""opened"""
IssuesEvent,urbanspr1nter/roboraider,urbanspr1nter,"""closed"""
IssuesEvent,urbanspr1nter/roboraider,urbanspr1nter,"""opened"""
IssuesEvent,VladimirMarkelov/todo_lib,VladimirMarkelov,"""opened"""
IssuesEvent,VladimirMarkelov/todo_lib,VladimirMarkelov,"""opened"""
IssuesEvent,pretzelhands/gatsby-starter-semantic-ui,jen729w,"""opened"""
IssuesEvent,715209/nginx-obs-automatic-low-bitrate-switching,b3ck,"""opened"""
IssuesEvent,715209/nginx-obs-automatic-low-bitrate-switching,b3ck,"""closed"""
IssuesEvent,SerCeMan/jnr-fuse,apetersson,"""opened"""
IssuesEvent,afollestad/material-dialogs,afollestad,"""closed"""
IssuesEvent,Sarfarazsajjad/angular7-bootstrap-pixijs,kellyprankin,"""opened"""
IssuesEvent,Alaya/varex,Alaya,"""closed"""
IssuesEvent,donny681/ESP32_CAMERA_QR,searchingforcode,"""opened"""
IssuesEvent,igrr/esp32-cam-demo,searchingforcode,"""closed"""
IssuesEvent,geajack/Wordology,geajack,"""opened"""
IssuesEvent,SeanKilleen/seankilleen.github.io,SeanKilleen,"""closed"""
IssuesEvent,SeanKilleen/seankilleen.github.io,SeanKilleen,"""closed"""
IssuesEvent,SeanKilleen/seankilleen.github.io,SeanKilleen,"""closed"""
IssuesEvent,SeanKilleen/seankilleen.github.io,SeanKilleen,"""closed"""
IssuesEvent,SeanKilleen/seankilleen.github.io,SeanKilleen,"""closed"""
IssuesEvent,nhagen/react-intercom,bluepeter,"""opened"""
IssuesEvent,ermig1979/Simd,sxsong1207,"""opened"""
IssuesEvent,mrbone/reading-record,mrbone,"""opened"""
IssuesEvent,mrbone/reading-record,mrbone,"""opened"""
IssuesEvent,mrbone/reading-record,mrbone,"""opened"""
IssuesEvent,timkpaine/finance_enums,timkpaine,"""closed"""
IssuesEvent,timkpaine/durga,timkpaine,"""closed"""
IssuesEvent,timkpaine/pynqpandas,timkpaine,"""closed"""
IssuesEvent,timkpaine/tributary,timkpaine,"""closed"""
IssuesEvent,timkpaine/jupyterlab_celltests,timkpaine,"""closed"""
IssuesEvent,timkpaine/knowledgelab,timkpaine,"""closed"""
IssuesEvent,timkpaine/temporal-cache,timkpaine,"""closed"""
IssuesEvent,timkpaine/paperboy,timkpaine,"""closed"""
IssuesEvent,timkpaine/hedgeme,timkpaine,"""closed"""
IssuesEvent,timkpaine/dash-wrapper,timkpaine,"""closed"""
IssuesEvent,timkpaine/hedgedata,timkpaine,"""closed"""
IssuesEvent,timkpaine/perspective-python,timkpaine,"""closed"""
IssuesEvent,timkpaine/live-pnl-test,timkpaine,"""closed"""
IssuesEvent,timkpaine/dash-wrapper,timkpaine,"""closed"""
IssuesEvent,timkpaine/pynqpandas,timkpaine,"""closed"""
IssuesEvent,xanthics/poe_craftingrecipes,xanthics,"""opened"""
IssuesEvent,AtomicBlom/ShearMadness,Xetaxheb,"""opened"""
IssuesEvent,wojtekmaj/react-pdf,yanivkalfa,"""opened"""
IssuesEvent,lstjsuperman/fabric,lstjsuperman,"""opened"""
IssuesEvent,lstjsuperman/fabric,lstjsuperman,"""opened"""
IssuesEvent,lstjsuperman/fabric,lstjsuperman,"""opened"""
IssuesEvent,lstjsuperman/fabric,lstjsuperman,"""opened"""
IssuesEvent,Kerollmops/MeiliDB,Kerollmops,"""closed"""
IssuesEvent,daniellacosse/process-automation-scripts,daniellacosse,"""opened"""
IssuesEvent,daniellacosse/process-automation-scripts,daniellacosse,"""closed"""
IssuesEvent,daniellacosse/process-automation-scripts,daniellacosse,"""opened"""
IssuesEvent,daniellacosse/process-automation-scripts,daniellacosse,"""opened"""
IssuesEvent,Jeffail/benthos,Jeffail,"""closed"""
IssuesEvent,keelz/my-hs-app,keelz,"""opened"""
IssuesEvent,slgobinath/SafeEyes,slgobinath,"""closed"""
IssuesEvent,Sandarmann/dr_robot,l50,"""opened"""
IssuesEvent,pana-cc/mocha-typescript,ittechsathish,"""opened"""
IssuesEvent,smslit/comtrade,DonCN,"""opened"""
IssuesEvent,jcohen66/sfg-pet-clinic,jcohen66,"""closed"""
IssuesEvent,jcohen66/sfg-pet-clinic,jcohen66,"""closed"""
IssuesEvent,jcohen66/sfg-pet-clinic,jcohen66,"""closed"""
IssuesEvent,jcohen66/sfg-pet-clinic,jcohen66,"""closed"""
IssuesEvent,sibendudey/Shareable-Poll-System,sibendudey,"""opened"""
IssuesEvent,ThisIsNoZaku/idle-game-creator,ThisIsNoZaku,"""opened"""
IssuesEvent,JackTrapper/DelphiBugs,JackTrapper,"""opened"""
IssuesEvent,flashwave/misuzu,flashwave,"""opened"""
IssuesEvent,kjunias/lingalafacile-translate-service,kjunias,"""opened"""
IssuesEvent,Masuzu/ZooeyBot,Masuzu,"""closed"""
IssuesEvent,xChristianZx/nextstep,demiacle,"""opened"""
IssuesEvent,fabiuz7/dimmable_light_esp8266_lib,MainMa,"""opened"""
IssuesEvent,kenrett/lacroix,ejvaudio,"""opened"""
IssuesEvent,kenrett/lacroix,ejvaudio,"""opened"""
IssuesEvent,jks-prv/Beagle_SDR_GPS,jks-prv,"""closed"""
IssuesEvent,jks-prv/Beagle_SDR_GPS,jks-prv,"""closed"""
IssuesEvent,chrisvfritz/prerender-spa-plugin,Tribex,"""closed"""
IssuesEvent,aquynh/capstone,aquynh,"""reopened"""
IssuesEvent,aquynh/capstone,aquynh,"""closed"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,joshjach/zaptest1,joshjach,"""opened"""
IssuesEvent,patrickschneider23/0install-tools,patrickschneider23,"""opened"""
IssuesEvent,AllanWang/Frost-for-Facebook,AllanWang,"""opened"""
IssuesEvent,AllanWang/Frost-for-Facebook,AllanWang,"""opened"""
IssuesEvent,eatorres/Mediate,eatorres,"""closed"""
IssuesEvent,eatorres/Mediate,eatorres,"""closed"""
IssuesEvent,SanderBuruma/Scribo_Laravel,SanderBuruma,"""opened"""
IssuesEvent,ncu571633/midi_parser,ncu571633,"""closed"""
IssuesEvent,jasongornall/always-green,jasongornall,"""opened"""
IssuesEvent,jasongornall/always-green,jasongornall,"""closed"""
IssuesEvent,CarlosGS/Cyclone-PCB-Factory,moliata,"""opened"""
IssuesEvent,mholt/archiver,heycait,"""opened"""
IssuesEvent,paulpage/py2048,biggles5107,"""opened"""
IssuesEvent,thebrubaker/spacetraders,artokun,"""closed"""
IssuesEvent,Couson/tip-calculator,codepathreview,"""opened"""
IssuesEvent,hn737433241/Tip-Cal,codepathreview,"""opened"""
IssuesEvent,jayparekhjp/tipCalc,codepathreview,"""opened"""
IssuesEvent,SizhiChen/tip-calculator,codepathreview,"""opened"""
IssuesEvent,bigDzzz/tip-calculator,codepathreview,"""opened"""
IssuesEvent,2900mustang/prework-repo,codepathreview,"""opened"""
IssuesEvent,b-bista/prework-repo,codepathreview,"""opened"""
IssuesEvent,SwetaKumarisjsu/Tip-Calculator-iOS,codepathreview,"""opened"""
IssuesEvent,ManJin1218/Tiptap,codepathreview,"""opened"""
IssuesEvent,QimengRen/Tip-Calculator,codepathreview,"""opened"""
IssuesEvent,Minty24/tipCalculator-,codepathreview,"""opened"""
IssuesEvent,peachy999/tipcalculator,codepathreview,"""opened"""
IssuesEvent,TruongKevinPham/codepath_tipcalculator,codepathreview,"""opened"""
IssuesEvent,kalymos/PsNee,gtchandra,"""opened"""
IssuesEvent,acetcom/nextepc,ncsnetwork,"""closed"""
IssuesEvent,acetcom/nextepc,ncsnetwork,"""reopened"""
IssuesEvent,mooman219/rust-assist,pzmarzly,"""opened"""
IssuesEvent,MJRLegends/Space-Astronomy-2-Feedback-,MJRLegends,"""closed"""
IssuesEvent,parithon/vscode-obs-websockets-secretsswitchscene,parithon,"""opened"""
IssuesEvent,parithon/vscode-obs-websockets-secretsswitchscene,parithon,"""opened"""
IssuesEvent,Zematus/Worlds,Zematus,"""opened"""
IssuesEvent,specialgirlgotoheaven/MyBlog,specialgirlgotoheaven,"""opened"""
IssuesEvent,mmgoodnow/this-week-fm,mmgoodnow,"""opened"""
IssuesEvent,Zhycrin/Time,Zhycrin,"""opened"""
IssuesEvent,LarsStegman/youtube-app,LarsStegman,"""closed"""
IssuesEvent,SUPERCILEX/Robot-Scouter,SUPERCILEX,"""closed"""
IssuesEvent,stevenmraines/pi_theater_2,stevenmraines,"""opened"""
IssuesEvent,Gurigraphics/DOMinus.js,Gurigraphics,"""opened"""
IssuesEvent,glondon/greglondon,glondon,"""closed"""
IssuesEvent,congr/world,congr,"""opened"""
IssuesEvent,congr/world,congr,"""closed"""
IssuesEvent,mrworf/photoframe,anasna83,"""opened"""
IssuesEvent,Konrad-Ziarko/DokiDokiMD,Konrad-Ziarko,"""closed"""
IssuesEvent,0999312/SlashBlade-Japanese-Addon-Pack,Yoghurt4C,"""opened"""
IssuesEvent,jcapellman/Whiskey-Tycoon,jcapellman,"""closed"""
IssuesEvent,RKrahl/photo-tools,RKrahl,"""opened"""
IssuesEvent,nullabletypo/boilerplate-ts-package,nullabletypo,"""closed"""
IssuesEvent,NickleDave/crowsetta,NickleDave,"""closed"""
IssuesEvent,sean132/FSAE-Lapsim,sean132,"""opened"""
IssuesEvent,sk1project/sk1-wx,sk1project,"""closed"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,koorellasuresh/UKRegionTest,koorellasuresh,"""opened"""
IssuesEvent,rpecka/MeshMan,rpecka,"""closed"""
IssuesEvent,mistake1px/blog,mistake1px,"""opened"""
IssuesEvent,YumaInaura/YumaInaura,YumaInaura,"""opened"""
IssuesEvent,YumaInaura/YumaInaura,YumaInaura,"""closed"""
IssuesEvent,YumaInaura/YumaInaura,YumaInaura,"""opened"""
IssuesEvent,adamped/xamarin.flutter,adamped,"""closed"""
IssuesEvent,adamped/xamarin.flutter,adamped,"""closed"""
IssuesEvent,nluedtke/linux_kernel_cves,nluedtke,"""opened"""
IssuesEvent,nluedtke/linux_kernel_cves,nluedtke,"""closed"""
IssuesEvent,lat9/news_box_manager,keneso9,"""opened"""
IssuesEvent,alexellis/k8s-on-raspbian,moficodes,"""opened"""
IssuesEvent,gxapplications/asterism,gxapplications,"""opened"""
IssuesEvent,dannen/kudo3dbean,frankincell,"""opened"""
IssuesEvent,OrigamiKids/Origamikids,OrigamiKids,"""opened"""
IssuesEvent,yourWaifu/sleepy-discord,yourWaifu,"""closed"""
IssuesEvent,2881099/csredis,2881099,"""closed"""
IssuesEvent,BobbyGR/AIOMiner,BobbyGR,"""closed"""
IssuesEvent,wfischer42/veeo-waypoint,wfischer42,"""opened"""
IssuesEvent,nicholasclark-artist/DCG,nicholasclark-artist,"""opened"""
IssuesEvent,MiguelCatalan/MaterialSearchView,osinakayah,"""opened"""
IssuesEvent,maddog05/whatanime-android,maddog05,"""closed"""
IssuesEvent,ornicar/lila,marshalhayes,"""opened"""
IssuesEvent,necolas/react-native-web,icarus-sullivan,"""opened"""
IssuesEvent,shazChaudhry/tech_test,shazChaudhry,"""closed"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""closed"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""reopened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""closed"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""reopened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""opened"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""closed"""
IssuesEvent,favroautomation/automationgitlabrunner20,favroautomation,"""reopened"""
IssuesEvent,DominicMaas/Tango,horvatic,"""opened"""
IssuesEvent,amdelamar/oddox-server,amdelamar,"""closed"""
IssuesEvent,amdelamar/oddox-server,amdelamar,"""closed"""
IssuesEvent,daxcurson/edu-manage,daxcurson,"""closed"""
IssuesEvent,ParaLock/SolidumEngine,ParaLock,"""opened"""
IssuesEvent,angelbbs/NiceHashMinerLegacy,foxwarernd,"""closed"""
IssuesEvent,inorichi/tachiyomi-extensions,Daegnor,"""closed"""
IssuesEvent,NillerMedDild/Enigmatica2Expert,NillerMedDild,"""closed"""
IssuesEvent,faheel/Algos,brunoccast,"""opened"""
IssuesEvent,adriaanbd/portfolio-page,adriaanbd,"""closed"""
IssuesEvent,vDelite/Evo,LiteOnE,"""opened"""
IssuesEvent,Rijackson/bugfix_0_7_4,Rijackson,"""closed"""
IssuesEvent,Tymek/ScrLk,greenkeeper[bot],"""opened"""
IssuesEvent,hidoo/gulp-project,greenkeeper[bot],"""opened"""
IssuesEvent,bigFishZhang/BasePlayerPro,buutuud,"""opened"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""closed"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""closed"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""opened"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""opened"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""opened"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""opened"""
IssuesEvent,jwilliamhall/weekly-web-apps,jwilliamhall,"""opened"""
IssuesEvent,scott56gps/FamilyShare,scott56gps,"""opened"""
IssuesEvent,nagatax/docker_base_os,nagatax,"""opened"""
IssuesEvent,YadominJinta/atilo,YadominJinta,"""closed"""
IssuesEvent,YadominJinta/atilo,YadominJinta,"""closed"""
IssuesEvent,wittlesouth/redux-immutable-model,wittlesouth,"""opened"""
IssuesEvent,Kate-v2/Pitcher,mngatewood,"""opened"""
IssuesEvent,jeffreyladd/Discord-PokemonGoPVP,jeffreyladd,"""closed"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,goedelsoup/keef,goedelsoup,"""opened"""
IssuesEvent,billsedison/vscode-gitlens,cagdas001,"""opened"""
IssuesEvent,billsedison/vscode-gitlens,cagdas001,"""opened"""
IssuesEvent,Harmon758/Harmonbot,dependencies[bot],"""opened"""
IssuesEvent,Harmon758/Harmonbot,dependencies[bot],"""opened"""
IssuesEvent,Jacob-Mango/DayZ-CommunityOnlineTools,GrosTon1,"""opened"""
IssuesEvent,chrmarti/testissues,vscodebot[bot],"""opened"""
IssuesEvent,n8fr8/orbot,ingfabby,"""opened"""
IssuesEvent,Kaffein675/STtest,Kaffein675,"""closed"""
IssuesEvent,autotester-one/integration-tests-36263,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-36263,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-36263,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-89753,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-49393,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-16415,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-16415,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-16415,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-76792,autotester-one,"""opened"""
IssuesEvent,autotester-one/integration-tests-94797,autotester-one,"""opened"""
IssuesEvent,jasongornall/always-green,gornalltesting,"""opened"""
IssuesEvent,jasongornall/always-green,gornalltesting,"""closed"""
IssuesEvent,eycorsican/go-tun2socks,thanksshu,"""closed"""
IssuesEvent,danielm/uploader,InnocentCivilian,"""opened"""
IssuesEvent,CodyJasonBennett/ArMTG,Qonfused,"""opened"""
IssuesEvent,CodyJasonBennett/ArMTG,Qonfused,"""opened"""
IssuesEvent,CodyJasonBennett/ArMTG,Qonfused,"""opened"""
IssuesEvent,ssi-qa/TestSSI,ssi-qa,"""opened"""
IssuesEvent,ssi-qa/TestSSI,ssi-qa,"""opened"""
IssuesEvent,ssi-qa/TestSSI,ssi-qa,"""opened"""
IssuesEvent,cortadocodes/finances-automation,cortadocodes,"""opened"""
IssuesEvent,cortadocodes/finances-automation,cortadocodes,"""closed"""
IssuesEvent,michaelzangl/minebot,pixelcrafter001,"""opened"""
IssuesEvent,cchu70/cchu70.github.io,cchu70,"""closed"""
IssuesEvent,cchu70/cchu70.github.io,cchu70,"""opened"""
IssuesEvent,cchu70/cchu70.github.io,cchu70,"""opened"""
IssuesEvent,MekanYsmos/Profit,MekanYsmos,"""opened"""
IssuesEvent,alecmuffett/eotk,Finleyyy,"""opened"""
IssuesEvent,f97/f97.github.io,f97,"""opened"""
IssuesEvent,StanWarford/pep9micro,Matthew-McRaven,"""closed"""
IssuesEvent,Veil-Project/veil,ianGre,"""closed"""
IssuesEvent,Veil-Project/veil,ianGre,"""closed"""
IssuesEvent,yutaro-elk/100yearsTwitter,yutaro-elk,"""opened"""
IssuesEvent,yutaro-elk/100yearsTwitter,yutaro-elk,"""closed"""
IssuesEvent,yutaro-elk/100yearsTwitter,yutaro-elk,"""opened"""
IssuesEvent,ram-on/SkyTube,mcmurphy8097234789,"""opened"""
IssuesEvent,choirulriz/github-slideshow,choirulriz,"""closed"""
IssuesEvent,dForDeveloper/magic-whateverly,dylhof,"""closed"""
IssuesEvent,ANYCUBIC-3D/ANYCUBIC_CHIRON_V1.3.0,vernieg,"""opened"""
IssuesEvent,nspire909/ng-timer,nspire909,"""opened"""
IssuesEvent,nspire909/ng-timer,nspire909,"""closed"""
IssuesEvent,Matty1850/markdown-portfolio,github-learning-lab[bot],"""closed"""
IssuesEvent,DwnRn/intro-html,github-learning-lab[bot],"""opened"""
IssuesEvent,choirulriz/github-slideshow,github-learning-lab[bot],"""opened"""
IssuesEvent,rossfuhrman/_why_the_lucky_markov,roadtojoy,"""opened"""
